"Index","zn1.Close","zn2.Close"
2016-03-01 09:01:00,14075,14145
2016-03-01 09:02:00,14095,14160
2016-03-01 09:03:00,14095,14160
2016-03-01 09:04:00,14095,14165
2016-03-01 09:05:00,14120,14190
2016-03-01 09:06:00,14115,14180
2016-03-01 09:07:00,14110,14170
2016-03-01 09:08:00,14110,14175
2016-03-01 09:09:00,14105,14170
2016-03-01 09:10:00,14105,14170
2016-03-01 09:11:00,14120,14180
2016-03-01 09:12:00,14105,14170
2016-03-01 09:13:00,14105,14170
2016-03-01 09:14:00,14110,14175
2016-03-01 09:15:00,14105,14175
2016-03-01 09:16:00,14120,14185
2016-03-01 09:17:00,14125,14190
2016-03-01 09:18:00,14115,14185
2016-03-01 09:19:00,14135,14195
2016-03-01 09:20:00,14125,14190
2016-03-01 09:21:00,14135,14205
2016-03-01 09:22:00,14140,14210
2016-03-01 09:23:00,14140,14200
2016-03-01 09:24:00,14135,14205
2016-03-01 09:25:00,14140,14205
2016-03-01 09:26:00,14135,14205
2016-03-01 09:27:00,14130,14205
2016-03-01 09:28:00,14115,14180
2016-03-01 09:29:00,14115,14185
2016-03-01 09:30:00,14110,14165
2016-03-01 09:31:00,14110,14170
2016-03-01 09:32:00,14100,14165
2016-03-01 09:33:00,14110,14175
2016-03-01 09:34:00,14115,14180
2016-03-01 09:35:00,14120,14185
2016-03-01 09:36:00,14120,14185
2016-03-01 09:37:00,14125,14185
2016-03-01 09:38:00,14115,14180
2016-03-01 09:39:00,14110,14175
2016-03-01 09:40:00,14100,14170
2016-03-01 09:41:00,14110,14175
2016-03-01 09:42:00,14115,14175
2016-03-01 09:43:00,14120,14185
2016-03-01 09:44:00,14115,14180
2016-03-01 09:45:00,14110,14180
2016-03-01 09:46:00,14120,14180
2016-03-01 09:47:00,14120,14185
2016-03-01 09:48:00,14110,14175
2016-03-01 09:49:00,14110,14170
2016-03-01 09:50:00,14095,14155
2016-03-01 09:51:00,14090,14150
2016-03-01 09:52:00,14090,14160
2016-03-01 09:53:00,14085,14145
2016-03-01 09:54:00,14080,14145
2016-03-01 09:55:00,14075,14140
2016-03-01 09:56:00,14065,14130
2016-03-01 09:57:00,14060,14125
2016-03-01 09:58:00,14055,14120
2016-03-01 09:59:00,14045,14105
2016-03-01 10:00:00,14040,14105
2016-03-01 10:01:00,14020,14090
2016-03-01 10:02:00,14030,14090
2016-03-01 10:03:00,14035,14100
2016-03-01 10:04:00,14025,14090
2016-03-01 10:05:00,14030,14090
2016-03-01 10:06:00,14010,14080
2016-03-01 10:07:00,14025,14090
2016-03-01 10:08:00,14035,14095
2016-03-01 10:09:00,14025,14085
2016-03-01 10:10:00,14030,14095
2016-03-01 10:11:00,14030,14100
2016-03-01 10:12:00,14040,14105
2016-03-01 10:13:00,14035,14105
2016-03-01 10:14:00,14040,14100
2016-03-01 10:15:00,14030,14090
2016-03-01 10:31:00,14010,14075
2016-03-01 10:32:00,14010,14065
2016-03-01 10:33:00,14010,14070
2016-03-01 10:34:00,14015,14075
2016-03-01 10:35:00,14010,14075
2016-03-01 10:36:00,14005,14070
2016-03-01 10:37:00,14005,14070
2016-03-01 10:38:00,14010,14070
2016-03-01 10:39:00,14010,14075
2016-03-01 10:40:00,14000,14070
2016-03-01 10:41:00,14005,14075
2016-03-01 10:42:00,14005,14070
2016-03-01 10:43:00,14010,14070
2016-03-01 10:44:00,14010,14070
2016-03-01 10:45:00,14005,14070
2016-03-01 10:46:00,14010,14070
2016-03-01 10:47:00,13995,14060
2016-03-01 10:48:00,13985,14050
2016-03-01 10:49:00,13980,14045
2016-03-01 10:50:00,13975,14035
2016-03-01 10:51:00,13985,14045
2016-03-01 10:52:00,13980,14045
2016-03-01 10:53:00,13990,14060
2016-03-01 10:54:00,13995,14060
2016-03-01 10:55:00,13995,14060
2016-03-01 10:56:00,13990,14055
2016-03-01 10:57:00,13990,14055
2016-03-01 10:58:00,13985,14045
2016-03-01 10:59:00,13990,14050
2016-03-01 11:00:00,13995,14055
2016-03-01 11:01:00,13980,14045
2016-03-01 11:02:00,13990,14055
2016-03-01 11:03:00,13990,14055
2016-03-01 11:04:00,13995,14055
2016-03-01 11:05:00,13990,14050
2016-03-01 11:06:00,13995,14055
2016-03-01 11:07:00,13995,14060
2016-03-01 11:08:00,13980,14050
2016-03-01 11:09:00,13990,14050
2016-03-01 11:10:00,13980,14045
2016-03-01 11:11:00,13985,14045
2016-03-01 11:12:00,13995,14050
2016-03-01 11:13:00,13990,14050
2016-03-01 11:14:00,13990,14050
2016-03-01 11:15:00,13990,14050
2016-03-01 11:16:00,13995,14050
2016-03-01 11:17:00,13995,14055
2016-03-01 11:18:00,13980,14045
2016-03-01 11:19:00,13985,14045
2016-03-01 11:20:00,13980,14040
2016-03-01 11:21:00,13975,14035
2016-03-01 11:22:00,13965,14025
2016-03-01 11:23:00,13955,14020
2016-03-01 11:24:00,13965,14030
2016-03-01 11:25:00,13935,13995
2016-03-01 11:26:00,13900,13960
2016-03-01 11:27:00,13920,13975
2016-03-01 11:28:00,13915,13975
2016-03-01 11:29:00,13925,13980
2016-03-01 11:30:00,13915,13965
2016-03-01 13:31:00,13925,13985
2016-03-01 13:32:00,13940,13995
2016-03-01 13:33:00,13940,13995
2016-03-01 13:34:00,13950,14005
2016-03-01 13:35:00,13945,14000
2016-03-01 13:36:00,13950,14005
2016-03-01 13:37:00,13955,14015
2016-03-01 13:38:00,13945,14010
2016-03-01 13:39:00,13950,14010
2016-03-01 13:40:00,13960,14025
2016-03-01 13:41:00,13965,14025
2016-03-01 13:42:00,13955,14015
2016-03-01 13:43:00,13980,14035
2016-03-01 13:44:00,13965,14025
2016-03-01 13:45:00,13970,14035
2016-03-01 13:46:00,14000,14055
2016-03-01 13:47:00,14005,14060
2016-03-01 13:48:00,14000,14055
2016-03-01 13:49:00,14010,14065
2016-03-01 13:50:00,14010,14065
2016-03-01 13:51:00,14020,14075
2016-03-01 13:52:00,14020,14080
2016-03-01 13:53:00,14005,14065
2016-03-01 13:54:00,14005,14065
2016-03-01 13:55:00,14025,14090
2016-03-01 13:56:00,14030,14095
2016-03-01 13:57:00,14025,14085
2016-03-01 13:58:00,14025,14085
2016-03-01 13:59:00,14025,14085
2016-03-01 14:00:00,14030,14085
2016-03-01 14:01:00,14045,14100
2016-03-01 14:02:00,14025,14085
2016-03-01 14:03:00,14020,14075
2016-03-01 14:04:00,14010,14065
2016-03-01 14:05:00,14005,14065
2016-03-01 14:06:00,14010,14070
2016-03-01 14:07:00,14025,14085
2016-03-01 14:08:00,14025,14090
2016-03-01 14:09:00,14030,14095
2016-03-01 14:10:00,14035,14095
2016-03-01 14:11:00,14025,14090
2016-03-01 14:12:00,14020,14080
2016-03-01 14:13:00,14025,14080
2016-03-01 14:14:00,14025,14085
2016-03-01 14:15:00,14035,14090
2016-03-01 14:16:00,14015,14075
2016-03-01 14:17:00,14020,14080
2016-03-01 14:18:00,14020,14075
2016-03-01 14:19:00,14030,14090
2016-03-01 14:20:00,14030,14090
2016-03-01 14:21:00,14025,14085
2016-03-01 14:22:00,14030,14085
2016-03-01 14:23:00,14030,14085
2016-03-01 14:24:00,14020,14085
2016-03-01 14:25:00,14025,14090
2016-03-01 14:26:00,14020,14080
2016-03-01 14:27:00,14035,14085
2016-03-01 14:28:00,14015,14075
2016-03-01 14:29:00,14020,14085
2016-03-01 14:30:00,14025,14085
2016-03-01 14:31:00,14040,14100
2016-03-01 14:32:00,14035,14095
2016-03-01 14:33:00,14035,14095
2016-03-01 14:34:00,14035,14090
2016-03-01 14:35:00,14025,14090
2016-03-01 14:36:00,14030,14095
2016-03-01 14:37:00,14035,14090
2016-03-01 14:38:00,14020,14085
2016-03-01 14:39:00,14025,14080
2016-03-01 14:40:00,14025,14080
2016-03-01 14:41:00,14015,14080
2016-03-01 14:42:00,14020,14080
2016-03-01 14:43:00,14030,14085
2016-03-01 14:44:00,14030,14090
2016-03-01 14:45:00,14035,14095
2016-03-01 14:46:00,14035,14095
2016-03-01 14:47:00,14035,14105
2016-03-01 14:48:00,14050,14110
2016-03-01 14:49:00,14060,14120
2016-03-01 14:50:00,14085,14140
2016-03-01 14:51:00,14085,14150
2016-03-01 14:52:00,14085,14145
2016-03-01 14:53:00,14090,14150
2016-03-01 14:54:00,14100,14160
2016-03-01 14:55:00,14095,14160
2016-03-01 14:56:00,14105,14165
2016-03-01 14:57:00,14095,14155
2016-03-01 14:58:00,14085,14150
2016-03-01 14:59:00,14090,14150
2016-03-01 15:00:00,14095,14150
