2013年吴忠市城乡建设投资开发有限公司公司债券,124369,13吴城投,1380303,13吴忠城投债,2020-10-12
2011年宜昌市城市建设投资开发有限公司市政项目建设债券,122766,11宜建投,1180162,11宜昌城投债,2019-11-17
2013年重庆市双福建设开发有限公司公司债券,124400,13渝双福,1380285,13渝双福债,2020-10-23
2013年平凉市投资发展公司企业债券,124352,13平凉债,1380279,13平凉债,2020-09-17
2012年营口港务集团有限公司公司债券,124053,12营口港,1280391,12营口港,2020-11-13
2013年天津市静海城市基础设施建设投资集团有限公司公司债券,124437,13津静海,1380368,13津静海债,2020-11-26
2009年陕西煤业化工集团有限责任公司公司债券,122861,09陕煤化,0980176,09陕煤化债,2017-12-17
2012年昆明市五华区国有资产投资经营管理有限公司市政项目建设债券,122695,12五国投,1280048,12五华国投债,2018-03-15
2012年湘潭市城市建设投资经营有限责任公司公司债券,122755,12潭城建,1280049,12潭城建债,2019-03-16
2012年双流兴城建设投资有限公司公司债券(品种一),122698,12双流01,1280050,12兴城债01,2019-03-16
2012年双流兴城建设投资有限公司公司债券(品种二),122699,12双流02,1280051,12兴城债02,2019-03-16
2012年三胞集团有限公司公司债券,122690,12三胞债,1280053,12三胞债,2019-03-19
2012年伊金霍洛旗宏泰城市建设投资有限责任公司市政项目建设债券,122708,12伊旗债,1280052,12伊旗城投债,2019-03-19
2012年成都新城西城市投资经营中心企业债券,122715,12蓉新城,1280054,12蓉新城西债,2019-03-19
2012年海门市城市发展投资有限公司公司债券,122706,12海门债,1280056,12海城投债,2019-03-20
2012年宣城市国有资产投资有限公司公司债券,122648,12宣国投,1280058,12宣城债,2019-03-20
2012年福建省龙岩交通国有资产投资经营有限公司公司债券,122719,12龙交投,1280055,12龙岩交投债,2022-03-19
2012年江苏交通控股有限公司公司债券,122705,12苏交通,1280057,12苏交通债,2017-03-20
2012年莆田市国有资产投资有限公司公司债券,122716,12莆田债,1280060,12莆田国投债,2019-03-21
2012年泰州市海陵资产经营有限公司公司债券,122714,12海陵债,1280061,12海陵债,2019-03-21
2012年怀化市城市建设投资有限公司市政项目建设债券,122661,12怀化债,1280064,12怀化债,2018-03-22
2012年佳木斯市新时代城市基础设施建设投资(集团)有限公司公司债券,122693,12佳城投,1280063,12佳城投债,2019-03-22
2008年常州市城市建设(集团)有限公司公司债券,122996,08常城建,088042,08常城建债,2015-09-24
2013年昆明滇池投资有限责任公司公司债券,124167,13滇投债,1380053,13滇投债,2020-02-01
2013年温州经济技术开发区国有资产经营有限公司公司债券,124125,13温经开,1380014,13温州经开债,2020-01-15
2013年克孜勒苏柯尔克孜自治州国有资产投资经营有限责任公司公司债券,124351,13克州债,1380278,13克州债,2020-09-16
2013年云南省公路开发投资有限责任公司公司债券,124135,13滇公投,1380012,13滇公路投债,2019-01-11
2012年秦皇岛开发区国有资产经营有限公司公司债券,122534,12秦开发,1280326,12秦开债,2019-10-17
2012年成都市兴锦城市建设投资有限责任公司公司债券,124230,12蓉兴锦,1280417,12兴锦债,2019-11-27
2013年九江富和建设投资有限公司公司债券,124203,13浔富和,1380126,13浔富和债,2019-03-19
2010年福建省能源集团有限责任公司公司债券,122862,10闽能源,1080152,10闽能源债,2017-12-02
2012年姜堰市国有资产投资集团有限公司公司债券,122753,12姜国资,1280427,12姜堰国投债,2019-12-03
2012年金湖县国有资产经营投资有限责任公司公司债券,124076,12金湖债,1280447,12金湖债,2018-12-07
2011年张家港保税区张保实业有限公司公司债券,122758,11张保债,1180185,11张保债,2018-12-15
2009年安庆市城市建设投资发展(集团)有限公司公司债券,122932,09宜城债,0980167,09宜城投债,2016-11-25
2002年中国移动通信企业债券(15年期),120203,02中移(15),7105,02中移动（2）,2017-10-28
2011年国家电网公司企业债券（第一期)(10年期),122770,11国网01,1180177,11国网债01,2021-12-08
2011年国家电网公司企业债券(第一期)(15年期),122771,11国网02,1180178,11国网债02,2026-12-08
2013年荆州经济技术开发区发展总公司企业债券,124406,13荆经开,1380330,13荆经开债,2020-12-09
2011年重庆市江津区华信资产经营(集团)有限公司市政项目建设债券,122841,11渝津债,1180002,11渝华信债,2018-01-06
2012年常熟市城市经营投资有限公司公司债券,122750,12常经营,1280006,12常熟经营债,2019-01-16
2013年山西煤炭运销集团有限公司公司债券,124350,13晋煤运,1380045,13晋煤销债,2023-01-28
2012年山西煤炭运销集团有限公司公司债券,122747,12晋煤运,1280007,12晋煤销债,2022-01-18
2013年溧阳市城市建设发展有限公司公司债券,124246,13溧城发,1380103,13溧城发债,2020-03-08
2012年延安城市建设投资开发有限责任公司企业债券,122740,12延城投,1280009,12延城投债,2017-02-08
2012年山东高速集团有限公司公司债券,122742,12鲁高速,1280010,12鲁高速债,2022-02-09
2012年柳州东城投资开发有限公司公司债券,122726,12柳东债,1280013,12柳州东城债,2019-02-15
2012年珠海华发集团有限公司市政项目建设债券,122743,12华发集,1280014,12华发集团债,2018-02-16
2012年辽宁方大集团实业有限公司公司债券(7年期),122746,12方大02,1280021,12辽方大债02,2019-02-22
2012年辽宁方大集团实业有限公司公司债券(6年期),122745,12方大01,1280020,12辽方大债01,2018-02-22
2012年九江市城市建设投资有限公司公司债券,122732,12九江债,1280023,12九城投债,2019-02-23
2012年晋江能源投资有限公司公司债券,122730,12晋江债,1280022,12晋江能源债,2018-02-23
2012年鄂尔多斯市东胜城市建设开发投资集团有限责任公司市政项目建设债券,122727,12东胜债,1280024,12东胜债,2018-02-28
2012年宁波城建投资控股有限公司市政项目建设债券,122720,12甬城投,1280025,12甬城投债,2018-03-01
2012年镇江新区经济开发总公司企业债券,122731,12镇经开,1280028,12镇江新区债,2019-03-01
2012年漳州市路桥经营有限公司公司债券,122692,12漳路桥,1280026,12漳州路桥债,2019-03-01
2013年梅州市康达公路建设有限公司公司债券,123011,13梅州债,1380265,13梅州债,2020-09-10
2012年葫芦岛市投资集团有限公司公司债券,122664,12葫芦岛,1280027,12葫芦岛债,2019-03-01
2012年鞍山市城市建设投资发展有限公司公司债券,122703,12鞍城投,1280029,12鞍山城投债,2019-03-05
2012年徐州经济技术开发区国有资产经营有限责任公司公司债券,122728,12徐经开,1280031,12徐州开发债,2019-03-07
2012年宿迁产业发展集团有限公司公司债券,122725,12宿产发,1280034,12宿产发债,2018-03-08
2012年淮安市水利资产经营有限公司公司债券,122722,12淮水利,1280032,12淮安水利债,2019-03-08
2012年中国航空技术国际控股有限公司公司债券(7年期),122712,12中航债,1280035,12中航国际债,2019-03-12
2012年泉州市路桥建设开发有限公司公司债券(7年期),122595,12泉州02,1280226,12泉州路桥债02,2019-08-07
2010年南昌市政公用投资控股有限责任公司公司债券,122894,10洪市政,1080086,10洪市政债,2017-08-03
2012年华盛江泉集团有限公司公司债券,122729,12江泉债,1280038,12江泉债,2019-03-12
2012年辽源市国有资产经营有限责任公司公司债券,122721,12辽国资,1280041,12辽源国资债,2019-03-13
2012年攀枝花市国有资产投资经营有限责任公司公司债券,122724,12攀国投,1280044,12攀国投,2022-03-13
2012年遵义市投资(集团)有限责任公司公司债券,122583,12遵投债,1280040,12遵义投资债,2019-03-13
2012年金坛市建设资产经营有限公司公司债券,122687,12金坛债,1280045,12金坛债,2019-03-14
2012年广西来宾市城市建设开发投资有限责任公司市政项目建设债券,122700,12来宾债,1280046,12来宾债,2019-03-14
2012年河南省郑州新区建设投资有限公司市政项目建设债券,122711,12郑新债,1280047,12郑新债,2019-03-14
2009年济南市城市建设投资有限公司公司债券,122975,09济城建,098038,09济城建债,2019-03-26
2009年永城煤电控股集团有限公司公司债券,122976,09永煤债,098041,09永煤债,2015-03-30
2009年昆山市创业控股有限公司公司债券,122973,09昆创控,098045,09昆创控债,2016-03-30
2013年景德镇市国有资产经营管理有限公司公司债券,124312,13景德镇,1380230,13景国资债,2020-06-25
2013年中国电力投资集团公司企业债券,124327,13中电投,1380239,13中电投债,2023-07-22
2012年昆明交通产业股份有限公司公司债券(5年期),122558,12昆交01,1280238,12昆交产债01,2017-08-17
2012年昆明交通产业股份有限公司公司债券(7年期),122559,12昆交02,1280239,12昆交产债02,2019-08-17
2013年武汉地产开发投资集团有限公司公司债券,124221,13武地产,1380137,13武地产债,2019-03-22
2009年中国长江三峡工程开发总公司企业债券(7年期),122971,09三峡02,098049,09三峡债02,2016-04-08
2009年中国长江三峡工程开发总公司企业债券(5年期),122970,09三峡01,098048,09三峡债01,2014-04-08
2009年绵阳市投资控股(集团)有限公司公司债,122972,09绵投控,098050,09绵阳投控债,2016-04-08
2011年厦门象屿集团有限公司公司债券,122789,11象屿债,1180132,11厦门象屿债,2018-07-08
2011年诸暨市城市建设投资发展有限公司公司债券,122790,11诸暨债,1180129,11诸暨债,2018-07-05
2012年泉州市泉港石化工业区建设发展有限公司公司债券,124129,12泉石建,1280108,12泉港石建债,2019-04-16
2009年杭州市城市建设投资集团有限公司公司债券,122968,09杭城投,098054,09杭城投债,2015-04-14
2009年潍坊市投资公司企业债券,122965,09潍投债,098056,09潍投债,2019-04-15
2009年昆明滇池投资有限责任公司公司债券,122966,09滇投债,098062,09昆明滇投债,2015-04-27
2009年岳阳市城市建设投资有限公司公司债券,122953,09岳城建,098071,09岳城建债,2015-04-30
2009年中国保利集团公司企业债券,122960,09保利集,098077,09保利集团债,2014-05-07
2009年南京市交通建设投资控股(集团)有限责任公司公司债券,122962,09宁交通,098076,09南京交通债,2016-05-07
2010年重庆交通旅游投资集团有限公司公司债券,122887,10渝交通,1080087,10渝交通债,2017-08-04
2009年清华控股有限公司公司债券,122959,09清控债,098086,09清华控股债,2016-05-19
2009年长沙经济技术开发有限公司公司债券,122958,09长经开,098091,09长经开债,2015-05-22
2009年武汉市城市建设投资开发集团有限公司公司债券,122961,09武城投,098092,09武城投债,2019-05-25
2009年湘潭市城市建设投资经营有限责任公司公司债券,122955,09潭城建,098095,09潭城建债,2015-06-01
2012年白城市中兴城市基础设施建设有限公司公司债券,122509,12白中兴,1280471,12白城债,2019-12-18
2009年成都工业投资集团有限公司公司债券,122957,09蓉工投,0980101,09蓉工投债,2016-06-04
2009年常州市武进城市建设投资有限责任公司公司债券,122954,09武进债,0980105,09武进城投债,2016-06-09
2009年赣州发展投资控股集团有限责任公司公司债券,122952,09赣州债,0980107,09赣州发展债,2016-06-16
2009年远洋地产有限公司公司债券,122579,09远洋债,0980110,09远洋地产债,2015-06-23
2012年新余市城市建设投资开发公司企业债券,124070,12新城投,1280463,12新城投,2019-12-13
2009年合肥市建设投资控股(集团)有限公司公司债券,122947,09合建投,0980117,09合肥建投债,2014-07-08
2009年常州投资集团有限公司公司债券,122949,09常投债,0980114,09常州投资债,2016-07-01
2009年无锡市交通产业集团有限公司企业债券,122948,09锡交债,0980116,09无锡交通债,2016-07-08
2009年扬州市城建国有资产控股(集团)有限责任公司公司债券,122946,09扬城建,0980121,09扬城建债,2016-07-23
2009年上虞市水处理发展有限责任公司公司债券,122945,09虞水债,0980122,09虞水债,2016-07-31
2009年天津城市基础设施建设投资集团有限公司公司债券(7年期),122980,09津投3,098028,09津城投3,2016-03-25
2009年天津城市基础设施建设投资集团有限公司公司债券(5年期),122979,09津投2,098027,09津城投2,2014-03-25
2013年大同煤矿集团有限责任公司公司债券,124285,13同煤集,1380178,13同煤债,2028-04-24
2011年山东泰丰矿业集团有限公司公司债券,122798,11泰矿债,1180123,11泰矿债,2018-06-22
2011年河北建设投资集团有限责任公司公司债券(品种二),122797,11冀投02,1180125,11冀建投债02,2024-06-27
2011年河北建设投资集团有限责任公司公司债券(品种一),122796,11冀投01,1180124,11冀建投债01,2021-06-27
2011年邯郸市城市建设投资有限公司企业债券,122792,11邯郸债,1180126,11邯郸城投债,2018-07-01
2013年郴州市新天投资有限公司湘江流域重金属污染治理公司债券,124323,13新天治,1380234,13新天治理债,2020-07-17
2013年新疆五家渠城市建设投资经营有限公司公司债券,124293,13农六师,1380204,13农六师债,2020-05-23
2011年扬州经济技术开发区开发总公司企业债券,122793,11扬开债,1180131,11扬州开发债,2016-07-07
2011年株洲高科集团有限公司公司债券,122856,11株高科,1180136,11株高科债,2018-08-18
2011年河南万基铝业股份有限公司公司债券,122829,11万基债,1180137,11万基债,2018-08-24
2011年渭南市城市建设投资开发有限责任公司公司债券(7年期),122806,11渭南02,1180113,11渭南债02,2018-06-08
2011年渭南市城市建设投资开发有限责任公司公司债券(6年期),122804,11渭南01,1180112,11渭南债01,2017-06-08
2011年焦作市建设投资(控股)有限公司公司债券,122801,11焦作债,1180114,11焦作建投债,2018-06-08
2011年辽阳城市资本经营有限公司公司债券,122802,11辽阳债,1180115,11辽阳债,2018-06-13
2011年陕西东岭工贸集团股份有限公司公司债券,122807,11东岭债,1180117,11陕东岭债,2017-06-14
2011年三明市国有资产投资经营公司企业债券,122788,11三明债,1180116,11三明国投债,2018-06-14
2011年龙口煤电有限公司公司债券,122800,11龙煤电,1180120,11龙煤电债,2018-06-17
2011年武汉国有资产经营公司企业债券,122799,11武国资,1180121,11武国资债,2018-06-17
2011年浙江吉利控股集团有限公司公司债券,122838,11吉利债,1180122,11吉利债,2018-06-21
2009年重庆龙湖企业拓展有限公司公司债券,122964,09龙湖债,098073,09龙湖债,2016-05-05
2012年联想控股有限公司公司债券,124044,12联想债,1280425,12联想债,2022-11-30
2013年萍乡市汇丰投资有限公司公司债券,124366,13汇丰投,1380288,13汇丰投资债,2020-10-11
2012年江苏省国信资产管理集团有限公司公司债券,122550,12苏国信,1280170,12江苏国信债,2017-06-08
2012年常州市武进城市建设投资有限责任公司公司债券,122641,12武进债,1280169,12武进城投债,2018-06-08
2012年芜湖经济技术开发区建设投资公司市政项目建设债券(品种一),122634,12芜开01,1280171,12芜湖经开债01,2018-06-08
2012年芜湖经济技术开发区建设投资公司市政项目建设债券(品种二),122635,12芜开02,1280172,12芜湖经开债02,2022-06-08
2012年江阴城市建设投资有限公司公司债券,122632,12江阴债,1280174,12江阴城投债,2019-06-11
2012年绍兴市城北新城建设投资有限公司公司债券,122639,12绍新城,1280173,12绍新城债,2018-06-11
2012年青州市宏源公有资产经营有限公司公司债券(7年期),122516,12青州01,1280339,12青州债01,2019-10-19
2012年青州市宏源公有资产经营有限公司公司债券(6年期),122517,12青州02,1280340,12青州债02,2018-10-19
2012年合肥海恒投资控股集团公司企业债券,122626,12海恒债,1280176,12合海恒债,2019-06-12
2012年仪征市城市建设发展有限公司公司债券,122640,12仪征债,1280178,12仪征债,2019-06-14
2012年锦州市城市建设投资发展有限公司公司债券,122622,12锦城债,1280177,12锦城投债,2019-06-13
2012年嘉兴经济技术开发区投资发展集团有限责任公司公司债券,122633,12嘉经债,1280180,12嘉兴经投债,2019-06-14
2012年重庆缙云资产经营(集团)有限公司公司债券,122614,12渝缙债,1280181,12渝缙云债,2019-06-18
2012年天津津南城市建设投资有限公司公司债券,122581,12津南城,1280182,12津南债,2019-06-18
2012年江苏连云发展集团有限公司公司债券,122636,12连发债,1280184,12连云发展债,2019-06-19
2012年昆明钢铁控股有限公司公司债券,122654,12昆钢控,1280135,12昆钢控股债,2020-04-26
2012年西宁城市投资管理有限公司公司债券,122672,12西城投,1280137,12西宁城投债,2019-04-27
2012年常熟市滨江城市建设经营投资有限责任公司公司债券,122676,12滨江债,1280140,12滨投债,2019-04-27
2012年南京江宁科学园发展有限公司公司债券,122677,12江宁债,1280141,12江宁债,2019-04-28
2012年铜陵市建设投资控股有限责任公司公司债券,122655,12铜建投,1280142,12铜陵建投债,2022-04-28
2012年乌鲁木齐国有资产经营有限公司公司债券,122592,12乌国资,1280143,12乌国资债,2018-04-28
2012年镇江市交通投资建设发展公司企业债券,122665,12镇交投,1280145,12镇江交投债,2019-05-08
2012年平顶山市发展投资公司企业债券,122629,12平发债,1280144,12平发投债,2019-05-08
2012年徐州市新盛建设发展投资有限公司公司债券,122670,12新盛债,1280146,12徐州新盛债,2018-05-08
2012年桂林市经济建设投资总公司企业债券,122669,12桂林债,1280147,12桂林债,2018-05-09
2012年绵阳科技城发展投资(集团)有限公司公司债券,122663,12科发债,1280148,12绵阳科发债,2019-05-15
2012年盘锦建设投资有限责任公司公司债券,122658,12盘锦债,1280150,12盘锦建设债,2019-05-17
2013年大连长兴岛开发建设投资有限公司公司债券,124151,13长兴岛,1380037,13长兴岛债,2020-01-25
2013年通辽市城市投资集团有限公司公司债券,124238,13通辽投,1380150,13通辽债,2020-04-09
2012年扬州市扬子江投资发展集团有限责任公司公司债券,122671,12扬子江,1280155,12扬子江债,2019-05-21
2012年海航资本控股有限公司公司债券,122643,12海资债,1280156,12海资债,2019-05-22
2012年山西国际电力集团有限公司公司债券,122631,12晋国电,1280158,12晋国电债,2022-05-24
2012年杨凌现代农业开发集团有限公司公司债券,122652,12杨农债,1280157,12杨农债,2019-05-23
2012年深圳市立业集团有限公司公司债券,124043,12深立业,1280437,12立业债,2018-12-03
2012年榆林市城市投资经营集团有限公司公司债券,124050,12榆城投,1280439,12榆城投债,2018-12-04
2012年榆林市城市投资经营集团有限公司公司债券,124863,12榆城投,1280439,12榆城投债,2018-12-04
2012年朝阳市建设投资有限公司公司债券,122642,12朝阳债,1280159,12朝阳建投债,2019-05-25
2012年南通市通州区惠通投资有限责任公司公司债券,122630,12惠投债,1280160,12惠投债,2019-05-28
2012年铁岭公共资产投资运营有限公司公司债券,122644,12铁岭债,1280162,12铁岭债,2018-05-29
2012年中国核工业集团公司企业债券(品种二),122647,12中核02,1280164,12中核债02,2022-05-30
2012年中国核工业集团公司企业债券(品种一),122646,12中核01,1280163,12中核债01,2022-05-30
2012年苏州工业园区地产经营管理公司企业债券,122645,12苏园建,1280165,12苏园建债,2019-05-30
2003年上海轨道交通建设债券,120301,03沪轨道,038003,03沪轨道债,2018-02-19
2013年乳山市城市国有资产经营有限公司公司债券,124346,13乳国资,1380271,13乳山国资债,2020-09-11
2011年兰州市城市发展投资有限公司市政项目建设债券,122768,11兰城投,1180186,11兰城投债,2018-12-15
2012年辽阳城市资本经营有限公司公司债券,124020,12辽城经,1280389,12辽阳债,2019-11-13
2011年通化市丰源投资开发有限公司市政项目建设债券,122754,11通化债,1180184,11通化债,2021-12-13
2012年鄂尔多斯市华研投资集团有限责任公司公司债券,124092,12鄂华研,1280468,12鄂华研债,2018-12-17
2012年河北建投交通投资有限责任公司公司债券,122713,12冀交通,1280080,12冀交通债,2022-03-27
2012年重庆市渝南资产经营有限公司公司债券,122718,12渝南债,1280067,12渝南债,2019-03-23
2012年江都市鑫源产业投资集团有限公司公司债券,122704,12江都债,1280072,12江都债,2019-03-23
2013年姜堰市城市建设投资发展有限公司公司债券,124396,13姜发展,1380238,13姜堰发展债,2020-09-03
2012年重庆市黔江区城市建设投资(集团)有限公司市政项目建设债券,122674,12渝黔江,1280070,12渝黔江债,2019-03-23
2012年重庆市涪陵区李渡新区开发有限公司市政项目建设债券,122673,12渝李渡,1280071,12渝李渡债,2019-03-23
2012年汕头市城市建设开发总公司企业债券,124057,12汕城开,1280068,12汕头城开债,2022-03-23
2012年上海新长宁(集团)有限公司公司债券,122578,12长宁债,1280237,12长宁债,2019-08-16
2012年绵阳市投资控股(集团)有限公司公司债券,122709,12绵阳债,1280075,12绵阳投控债,2019-03-26
2010年吴江经济技术开发区发展总公司企业债券,122881,10吴江债,1080171,10吴江发展债,2018-12-23
2012年济南市城市建设投资有限公司公司债券,122710,12济城建,1280074,12济城建债,2018-03-26
2012年宿迁市经济开发总公司企业债券,122689,12宿开发,1280078,12宿迁开发债,2019-03-26
2010年镇江市水利投资公司企业债券,122915,10镇水投,1080054,10镇江水投债,2017-05-06
2010年南通产业控股集团有限公司公司债券,122913,10通产控,1080061,10南通产控债,2016-05-18
2010年赤峰市城市基础设施投资开发有限公司公司债券,122902,10赤峰债,1080060,10赤城投债,2017-05-18
2010年宜兴市城市发展投资有限公司企业债券,122909,10宜兴债,1080063,10兴城投债,2016-05-20
2010年武汉高科国有控股集团有限公司公司债券,123006,10武高债,1080065,10武汉高科债,2020-05-24
2012年扬州化工产业投资发展有限公司公司债券,122678,12扬化工,1280127,12扬化工债,2019-04-25
2013年宿迁市城市建设投资有限公司公司债券,124409,13宿城投,1380345,13宿迁城投债,2020-10-29
2013年河源市城市开发投资有限公司公司债券,124214,13河城投,1380128,13河源城投债,2020-03-19
2010年郴州市城市建设投资经营有限责任公司公司债券,122921,10郴州债,1080004,10郴州债,2017-01-21
2010年江苏省太仓港港口开发建设投资公司企业债券,122917,10太仓港,1080007,10太仓港债,2020-01-21
2010年辽源市国有资产经营有限责任公司公司债券,122937,10辽源债,1080010,10辽源债,2017-01-26
2010年巢湖城市建设投资有限公司公司债券,122924,10巢湖债,1080012,10巢湖债,2017-01-28
2012年湖南昭山经济建设投资有限公司公司债券,124019,12湘昭投,1280461,12昭山经投债,2018-12-12
2010年北京汽车投资有限公司公司债券,122923,10北汽投,1080013,10北汽投债,2017-01-29
2010年龙源电力集团股份有限公司公司债券,122860,10龙源债,1080024,10龙源债,2017-02-09
2010年黄山市城市建设投资(集团)有限公司公司债券,122920,10黄山债,1080025,10黄山债,2017-02-09
2010年阜阳市城市建设投资有限公司公司债券,122918,10阜阳债,1080029,10阜阳城投债,2016-03-09
2010年南昌市红谷滩城市投资集团有限公司公司债券,122916,10红谷滩,1080031,10红谷城投债,2017-03-09
2010年山东省商业集团总公司企业债券,122919,10鲁商债,1080032,10鲁商债,2017-03-11
2010年漯河市城市建设投资有限公司公司债券,122910,10漯河债,1080041,10漯河城投债,2017-03-30
2010年南昌城市建设投资发展有限公司公司债券,122905,10南昌债,1080047,10南昌城投债,2017-04-30
2010年鞍山市城市建设投资发展有限公司公司债券,122911,10鞍城投,1080055,10鞍山城投债,2020-05-06
2013年宿州市建设投资有限责任公司公司债券,124250,13宿建投,1380163,13宿建投债,2020-04-17
2013年山东省鲁信投资控股集团有限公司公司债券,124251,13鲁信投,1380160,13鲁信集团债,2020-04-17
2013年安徽省南翔贸易(集团)有限公司公司债券,124274,13徽南翔,1380155,13南翔债,2019-04-11
2013年重庆三峡产业投资有限公司公司债券,124142,13渝三峡,1380029,13渝三峡债,2019-01-23
2012年愉悦家纺有限公司公司债券,124105,12愉悦债,1280473,12愉悦债,2018-12-20
2011年太仓市资产经营投资有限公司公司债券,122697,11太资债,1180201,11太仓资产债,2018-12-31
2012年惠安县国有资产投资经营有限公司公司债券,124329,12惠国投,1280316,12惠安国投债,2019-10-15
2012年黑龙江省鹤城建设投资发展有限公司公司债券,122590,12鹤城投,1280186,12鹤城投债,2022-06-21
2013年自贡市高新投资有限公司公司债券,124200,13自高新,1380116,13自贡高新债,2020-03-13
2013年山西潞安矿业(集团)有限责任公司公司债券(品种一),124258,13潞矿01,1380176,13潞矿债01,2023-04-25
2013年山西潞安矿业(集团)有限责任公司公司债券(品种二),124259,13潞矿02,1380177,13潞矿债02,2023-04-25
2013年海南金海浆纸业有限公司公司债券,124257,13海浆纸,1380158,13金海浆纸债,2020-04-15
2013年红河州公路开发经营有限责任公司公司债券,124265,13红河路,1380194,13红河公路债,2020-05-06
2013年天津滨海发展投资控股有限公司公司债券,124276,13津滨投,1380170,13津滨投债,2020-04-26
2013年重庆市双桥经济技术开发区开发投资集团有限公司公司债券,124278,13渝双桥,1380187,13渝双桥债,2020-04-26
2009年南京钢铁联合有限公司公司债券,122983,09南钢联,098016,09南钢联债,2016-02-27
2009年六安城市建设投资有限公司公司债券,122984,09六城投,098018,09六安城投债,2016-03-02
2012年昆明产业开发投资有限责任公司公司债券,124052,12昆产投,1280345,12昆明产投债,2019-10-23
2013年第一期普兰店市建设投资有限公司公司债券,124431,13普兰01,1380359,13普兰店债01,2020-11-19
2009年长春城市开发(集团)有限公司公司债券,122982,09长城开,098020,09长春城开债,2016-03-09
2009年铜陵市城市建设投资开发有限责任公司公司债券(6年期),122981,09铜城投,098021,09铜城投债01,2015-03-10
2013年库车城市建设投资(集团)有限公司公司债券(第一期),124441,13库车01,1380377,13库车城投债01,2020-12-09
2012年曲靖市公路建设开发有限责任公司公司债券,124072,12曲公路,1280362,12曲公路债,2019-10-26
